table,SE,SR,SRa,SRm,SRR,SH,SHa
apaareagross,3.0,0.0,0.0,0.0,0.0,0.0,0.0
apaareanet,3.0,0.0,0.0,0.0,0.0,0.0,0.0
baaarea,3.0,0.0,0.0,3.0,0.0,0.0,0.0
bsns_arr_area,3.0,0.0,0.0,0.0,0.0,0.0,0.0
bsns_arr_area_area_poly_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
bsns_arr_area_licensee_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
bsns_arr_area_operator,2.0,0.0,0.0,3.0,0.0,3.0,0.0
bsns_arr_area_transfer_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
company,1.0,0.0,0.0,2.0,0.0,0.0,0.0
company_reserves,0.0,0.0,0.0,0.0,1.0,0.0,0.0
discovery,3.0,0.0,0.0,3.0,0.0,0.0,0.0
discovery_reserves,3.0,0.0,0.0,3.0,0.0,0.0,0.0
dscarea,3.0,0.0,0.0,3.0,0.0,0.0,0.0
facility_fixed,3.0,0.0,0.0,0.0,0.0,2.0,0.0
facility_moveable,3.0,0.0,0.0,3.0,0.0,0.0,0.0
fclpoint,2.0,0.0,0.0,3.0,0.0,1.0,0.0
field,3.0,0.0,0.0,1.0,0.0,0.0,0.0
field_activity_status_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
field_description,1.0,0.0,0.0,1.0,0.0,0.0,0.0
field_investment_yearly,3.0,0.0,0.0,3.0,0.0,0.0,0.0
field_licensee_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
field_operator_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
field_owner_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
field_production_monthly,3.0,0.0,0.0,0.0,0.0,0.0,0.0
field_production_totalt_ncs_month,3.0,0.0,0.0,0.0,0.0,0.0,0.0
field_production_totalt_ncs_year,1.0,0.0,0.0,0.0,0.0,0.0,0.0
field_production_yearly,3.0,0.0,0.0,0.0,0.0,0.0,0.0
field_reserves,2.0,0.0,0.0,2.0,0.0,3.0,0.0
fldarea,3.0,0.0,0.0,3.0,0.0,0.0,0.0
licence,3.0,0.0,0.0,0.0,0.0,0.0,0.0
licence_area_poly_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
licence_licensee_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
licence_oper_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
licence_petreg_licence,0.0,0.0,0.0,0.0,0.0,3.0,0.0
licence_petreg_licence_licencee,0.0,0.0,0.0,0.0,3.0,0.0,0.0
licence_petreg_licence_oper,2.0,0.0,0.0,3.0,0.0,3.0,0.0
licence_petreg_message,3.0,0.0,0.0,3.0,0.0,0.0,0.0
licence_phase_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
licence_task,3.0,0.0,0.0,3.0,0.0,0.0,0.0
licence_transfer_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
pipline,3.0,0.0,0.0,3.0,0.0,0.0,0.0
prlarea,3.0,0.0,0.0,3.0,0.0,0.0,0.0
prlareasplitbyblock,3.0,0.0,0.0,3.0,0.0,0.0,0.0
seaarea,3.0,0.0,0.0,2.0,0.0,0.0,0.0
seamultiline,3.0,0.0,0.0,2.0,0.0,2.0,0.0
seis_acquisition,3.0,0.0,0.0,2.0,0.0,0.0,0.0
seis_acquisition_coordinates_inc_turnarea,3.0,0.0,0.0,2.0,0.0,0.0,0.0
seis_acquisition_progress,3.0,0.0,0.0,2.0,0.0,0.0,0.0
strat_litho_wellbore,3.0,0.0,0.0,3.0,0.0,0.0,0.0
strat_litho_wellbore_core,3.0,0.0,0.0,3.0,0.0,0.0,0.0
tuf_operator_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
tuf_owner_hst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
tuf_petreg_licence,3.0,0.0,0.0,0.0,0.0,0.0,0.0
tuf_petreg_licence_licencee,0.0,0.0,0.0,0.0,3.0,0.0,0.0
tuf_petreg_licence_oper,2.0,0.0,0.0,1.0,0.0,1.0,0.0
tuf_petreg_message,3.0,0.0,0.0,3.0,0.0,0.0,0.0
wellbore_casing_and_lot,3.0,0.0,0.0,3.0,0.0,0.0,0.0
wellbore_coordinates,2.0,0.0,0.0,2.0,0.0,3.0,0.0
wellbore_core,3.0,0.0,0.0,1.0,0.0,0.0,0.0
wellbore_core_photo,3.0,0.0,0.0,3.0,0.0,0.0,0.0
wellbore_development_all,2.0,0.0,0.0,3.0,0.0,2.0,1.0
wellbore_document,3.0,0.0,0.0,1.0,0.0,0.0,0.0
wellbore_dst,3.0,0.0,0.0,3.0,0.0,0.0,0.0
wellbore_exploration_all,0.0,0.0,0.0,1.0,0.0,2.0,1.0
wellbore_formation_top,3.0,0.0,0.0,3.0,0.0,0.0,0.0
wellbore_mud,3.0,0.0,0.0,3.0,0.0,0.0,0.0
wellbore_npdid_overview,3.0,0.0,0.0,0.0,0.0,0.0,0.0
wellbore_oil_sample,3.0,0.0,0.0,3.0,0.0,0.0,0.0
wellbore_shallow_all,0.0,0.0,0.0,0.0,0.0,3.0,0.0
wlbpoint,2.0,0.0,0.0,2.0,0.0,3.0,0.0
