eval-query;eval-ucq;eval-jucq;eval-off;eval-m;eval-r;eval-winner;est-query;est-ucq;est-jucq;est-off;est-m;est-r;est-winner
1;2944;4131;15;1;0;ontop;1;40914;166743;15;1;0;ontop
2;44406;35554;15;2;0;jucq;2;682980;664631;15;2;0;jucq
3;37178;13336;15;2;1;jucq;3;550914;319743;15;2;1;jucq
4;230009;165349;15;3;0;jucq;4;3541541;2034566;15;3;0;jucq
5;231434;59391;15;3;1;jucq;5;2892980;919631;15;3;1;jucq
6;213324;27759;15;3;2;jucq;6;2760914;574743;15;3;2;jucq
7;819420;453410;15;4;0;jucq;7;11381277;5177383;15;4;0;jucq
8;773051;175223;15;4;1;jucq;8;9491541;2391566;15;4;1;jucq
9;797162;74084;15;4;2;jucq;9;8842980;1276631;15;4;2;jucq
10;734119;49354;15;4;3;jucq;10;8710914;931743;15;4;3;jucq
11;2147344;1072677;15;5;0;jucq;11;28142825;11353716;15;5;0;jucq
12;2094468;473535;15;5;1;jucq;12;23927277;5636383;15;5;1;jucq
13;2032542;202176;15;5;2;jucq;13;22037541;2850566;15;5;2;jucq
14;2111178;105683;15;5;3;jucq;14;21388980;1735631;15;5;3;jucq
15;1922987;79544;15;5;4;jucq;15;21256914;1390743;15;5;4;jucq
16;3603135;2109654;15;6;0;jucq;16;58960968;22184075;15;6;0;jucq
17;3604654;1020912;15;6;1;jucq;17;50956825;11914716;15;6;1;jucq
18;3602974;507919;15;6;2;jucq;18;46741277;6197383;15;6;2;jucq
19;3602907;251956;15;6;3;jucq;19;44851541;3411566;15;6;3;jucq
20;3602933;144746;15;6;4;jucq;20;44202980;2296631;15;6;4;jucq
21;3603503;117166;15;6;5;jucq;21;44070914;1951743;15;6;5;jucq
22;4632;6020;10;1;0;ontop;22;82714;336144;10;1;0;ontop
23;64763;63675;10;2;0;jucq;23;1380135;1336349;10;2;0;jucq
24;48544;16097;10;2;1;jucq;24;1102714;642144;10;2;1;jucq
25;335921;278934;10;3;0;jucq;25;7154842;4082421;10;3;0;jucq
26;331445;81627;10;3;1;jucq;26;5800135;1846349;10;3;1;jucq
27;293939;36052;10;3;2;jucq;27;5522714;1152144;10;3;2;jucq
28;1237440;879152;10;4;0;jucq;28;22989350;10376028;10;4;0;jucq
29;1158212;307500;10;4;1;jucq;29;19054842;4796421;10;4;1;jucq
30;1203763;114082;10;4;2;jucq;30;17700135;2560349;10;4;2;jucq
31;1089577;65277;10;4;3;jucq;31;17422714;1866144;10;4;3;jucq
32;3397826;2013498;10;5;0;jucq;32;56839349;22738440;10;5;0;jucq
33;3241274;958016;10;5;1;jucq;33;48081350;11294028;10;5;1;jucq
34;3153949;355821;10;5;2;jucq;34;44146842;5714421;10;5;2;jucq
35;3277019;158725;10;5;3;jucq;35;42792135;3478349;10;5;3;jucq
36;2916912;105725;10;5;4;jucq;36;42514714;2784144;10;5;4;jucq
37;3611457;3600000;10;6;0;jucq;37;119070088;44410675;10;6;0;jucq
38;3610467;2158697;10;6;1;jucq;38;102467349;23860440;10;6;1;jucq
39;3609201;1010783;10;6;2;jucq;39;93709350;12416028;10;6;2;jucq
40;3623647;406107;10;6;3;jucq;40;89774842;6836421;10;6;3;jucq
41;3606777;217816;10;6;4;jucq;41;88420135;4600349;10;6;4;jucq
42;3606167;157601;10;6;5;jucq;42;88142714;3906144;10;6;5;jucq
43;5565;8035;5;1;0;ontop;43;124849;506548;5;1;0;ontop
44;82299;89350;5;2;0;ontop;44;2082640;2010742;5;2;0;jucq
45;59966;13583;5;2;1;jucq;45;1654849;965548;5;2;1;jucq
46;434613;394355;5;3;0;jucq;46;10795229;6135292;5;3;0;jucq
47;436209;115981;5;3;1;jucq;47;8712640;2775742;5;3;1;jucq
48;374124;43452;5;3;2;jucq;48;8284849;1730548;5;3;2;jucq
49;1645312;1438851;5;4;0;jucq;49;34683025;15582699;5;4;0;jucq
50;1511048;447427;5;4;1;jucq;50;28645229;7206292;5;4;1;jucq
51;1593752;151121;5;4;2;jucq;51;26562640;3846742;5;4;2;jucq
52;1381501;79490;5;4;3;jucq;52;26134849;2801548;5;4;3;jucq
53;3605136;3195632;5;5;0;jucq;53;85744864;34134867;5;5;0;jucq
54;3604406;1338882;5;5;1;jucq;54;72321025;16959699;5;5;1;jucq
55;3604751;495124;5;5;2;jucq;55;66283229;8583292;5;5;2;jucq
56;3604794;216436;5;5;3;jucq;56;64200640;5223742;5;5;3;jucq
57;3604100;133253;5;5;4;jucq;57;63772849;4178548;5;5;4;jucq
58;3611744;3600000;5;6;0;jucq;58;179612570;66653326;5;6;0;jucq
59;3609485;3221009;5;6;1;jucq;59;154186864;35817867;5;6;1;jucq
60;3609532;1435542;5;6;2;jucq;60;140763025;18642699;5;6;2;jucq
61;3612137;576969;5;6;3;jucq;61;134725229;10266292;5;6;3;jucq
62;3612113;292117;5;6;4;jucq;62;132642640;6906742;5;6;4;jucq
63;3615321;197442;5;6;5;jucq;63;132214849;5861548;5;6;5;jucq
64;8232;9937;0;1;0;ontop;64;167201;677604;0;1;0;ontop
65;103834;115559;0;2;0;ontop;65;2788620;2686873;0;2;0;jucq
66;71597;23404;0;2;1;jucq;66;2207201;1289604;0;2;1;jucq
67;540538;623996;0;3;0;ontop;67;14453204;8191420;0;3;0;jucq
68;537990;147150;0;3;1;jucq;68;11628620;3706873;0;3;1;jucq
69;463793;51171;0;3;2;jucq;69;11047201;2309604;0;3;2;jucq
70;2064023;1688639;0;4;0;jucq;70;46432291;20794581;0;4;0;jucq
71;1885231;600597;0;4;1;jucq;71;38253204;9619420;0;4;1;jucq
72;2009891;192633;0;4;2;jucq;72;35428620;5134873;0;4;2;jucq
73;1727900;95972;0;4;3;jucq;73;34847201;3737604;0;4;3;jucq
74;3606094;3600000;0;5;0;jucq;74;114786098;45538895;0;5;0;jucq
75;3605989;1763211;0;5;1;jucq;75;96616291;22630581;0;5;1;jucq
76;3606023;650892;0;5;2;jucq;76;88437204;11455420;0;5;2;jucq
77;3606319;255695;0;5;3;jucq;77;85612620;6970873;0;5;3;jucq
78;3605742;158194;0;5;4;jucq;78;85031201;5573604;0;5;4;jucq
79;3609820;3600000;0;6;0;jucq;79;240436479;88906400;0;6;0;jucq
80;3609841;3600000;0;6;1;jucq;80;206042098;47782895;0;6;1;jucq
81;3610572;1904307;0;6;2;jucq;81;187872291;24874581;0;6;2;jucq
82;3610503;772224;0;6;3;jucq;82;179693204;13699420;0;6;3;jucq
83;3610062;347503;0;6;4;jucq;83;176868620;9214873;0;6;4;jucq
84;3616541;240546;0;6;5;jucq;84;176287201;7817604;0;6;5;jucq
